Type,TypeEn,Message,Choice,Euro,Icon
Διαφήμιση,Αdvertisement,Το Red Bull δίνει φτερααααά,Εντάξει,0,redBull.jpg
Διαφήμιση,Αdvertisement,Έξυπνη Σίτα-Κρατήστε μακριά τα ενοχλητικά έντομα τα κουνούπια και τις μύγες!,Εντάξει,0,sita.jpg
Διαφήμιση,Αdvertisement,Άσε το Θείο Διάβασε Java,Εντάξει,0,theios.jpg
Διαφήμιση,Αdvertisement,Java... Ποια Amstel?,Εντάξει,0,amstel.jpg
Διαφήμιση,Αdvertisement,29 κατασκευαστές πλυντηρίων συνιστούν Skip,Εντάξει,0,skip.png
Διαφήμιση,Αdvertisement,11888 Σούπερ Αριθμός,Εντάξει,0,enteka.jpg
Διαφήμιση,Αdvertisement,Μοιράσου μία Coca Cola με τον συμφοιτοιτή σου ,Εντάξει,0,cola.png
Διαφήμιση,Αdvertisement,Lays Κανείς δεν μπορεί να φάει μόνο ένα,Εντάξει,0,lays.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 500 Ευρώ για την πρώτη δόση του ΕΝΦΙΑ, Κράτα το Λογαριασμό,500,enfia.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 50 Ευρώ για τον Λογαριασμο Τηλεφώνου, Κράτα το Λογαριασμό,50,cosmote.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 200 Ευρώ για τον Λογαριασμο της ΔΕΗ, Κράτα το Λογαριασμό,200,deh.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 1500 Ευρώ για την προκαταβολή του αυτοκινήτου, Κράτα το Λογαριασμό,1500,car.png
Εξόφληση Λογαριασμού,Bill,Πληρωμή 250 Ευρώ για το Ενοίκιο, Κράτα το Λογαριασμό,250,enoikio.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 1000 Ευρώ για τη δόση του Στεγαστικού Δανείου, Κράτα το Λογαριασμό,1000,daneio.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 200 Ευρω για την ασφάλεια του αυτοκινήτου, Κράτα το Λογαριασμό,200,asfaleia.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 500 Ευρώ για την δόση της Εφορίας, Κράτα το Λογαριασμό,500,eforia.jpg
Φιλανθρωπία,Charity,Διάσωση χελώνας Καρέτα-Καρέτα, Πλήρωσε 50 Ευρώ στο Jackpot,50,caretta.jpg
Φιλανθρωπία,Charity,Σώσε τα αδέσποτα, Πλήρωσε 100 Ευρώ στο Jackpot,100,adespoto.jpg
Φιλανθρωπία,Charity,Βοήθησε τους Γιατρούς χωρίς σύνορα, Πλήρωσε 200 Ευρώ στο Jackpot,200,doctor.jpg
Φιλανθρωπία,Charity,Βοήθησε τη Unicef, Πλήρωσε 300 Ευρώ στο Jackpot,300,unicef.png
Φιλανθρωπία,Charity,Προστασία της άγριας ζωής- Αρκτούρος, Πλήρωσε 150 Ευρώ στο Jackpot,150,arktouros.jpg
Φιλανθρωπία,Charity,Όλοι μαζί μπορούμε, Πλήρωσε 350 Ευρώ στο Jackpot,350,mporoume.jpg
Φιλανθρωπία,Charity,Σώσε το Περιβάλλον-Greenpeace, Πλήρωσε 250 Ευρώ στο Jackpot,250,greenpeace.jpg
Φιλανθρωπία,Charity,Αλληλεγγύη για όλους, Πλήρωσε 250 Ευρώ στο Jackpot,250,voitheia.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Αγορά μεταχειρισμένης οθόνης από το γείτονα,Πλήρωσε 60 Ευρώ στον αντίπαλο,60,monitor.png
Πλήρωσε τον γείτονα,PayTheNeighbor,Ο γείτονας παίρνει πτυχίο,Πλήρωσε 100 Ευρώ στον αντίπαλο,100,ptyxio.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Δώσε τα κοινόχρηστα στο γείτονα,Πλήρωσε 67 Ευρώ στον αντίπαλο,67,koinoxrista.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Ιδιαίτερα μαθήματα κιθάρας από το γείτονα,Πλήρωσε 200 Ευρώ στον αντίπαλο,200,guitar.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Δώσε πίσω τα δανεικά που σου έδωσε ο γείτονας για να αγοράσεις Laptop,Πλήρωσε 1250 Ευρώ στον αντίπαλο,1250,laptop.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Ο γείτονας κράτησε τον σκύλο σου στις διακοπές,Πλήρωσε 300 Ευρώ στον αντίπαλο,300,dog.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Ο γείτονας πουλάει λαχνούς,Πλήρωσε 100 Ευρώ στον αντίπαλο,100,laxnoi.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Ο γείτονας παντρεύεται,Πλήρωσε 400 Ευρώ στον αντίπαλο,400,gamos.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Format στον υπολογιστή του γείτονα,Πάρε 50 Ευρώ από τον αντίπαλο,50,format.jpeg
Πάρε λεφτά από το γείτονα,MadMoney,Κράτηση της γάτας του γείτονα λόγω διακοπών,Πάρε 150 Ευρώ από τον αντίπαλο,150,cat.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Πήγες το αυτοκίνητο του γείτονα στο ΚΤΕΟ,Πάρε 100 Ευρώ από τον αντίπαλο,100,kteo.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Ιδιαίτερα μαθήματα αγγλικών στο γείτονα,Πάρε 380 Ευρώ από τον αντίπαλο,380,english.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Πάρε πίσω τα δανεικά που έδωσες στο γείτονα για να αγοράσει μηχανή,Πάρε 1300 Ευρώ από τον αντίπαλο,1300,honda.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Πώληση μεταχειρισμένου Playstasion 3 στο Γείτονα,Πάρε 120 Ευρώ από τον αντίπαλο,120,ps3.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Πάρε τα χρήματα για τη δόση του πετρελαίου από το γείτονα,Πάρε 350 Ευρώ από τον αντίπαλο,350,kalorifer.jpg
Πάρε λεφτά από το γείτονα,MadMoney,Ο γείτονας σου δίνει χρήματα για τη γιορτή σου,Πάρε 100 Ευρώ από τον αντίπαλο,100,dwro.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
